fid,type,capacity,boss_rut,pid
103,dock,3,73026642-1,0
173,dock,2,69822376-6,1
18,shipyard,1,12920124-k,2
34,shipyard,1,14200344-9,3
91,shipyard,2,13863556-2,4
174,shipyard,3,11904025-6,5
88,shipyard,3,54480341-7,6
46,dock,2,77191435-7,7
153,dock,1,23047484-2,8
192,dock,1,50728559-7,9
191,shipyard,2,32359787-1,10
28,dock,1,94362008-3,11
82,shipyard,1,98357275-8,12
13,shipyard,2,10339840-1,13
144,dock,1,52189199-8,14
183,shipyard,1,26849996-2,15
105,shipyard,2,67753422-2,16
207,dock,1,34039148-9,17
21,dock,3,35340502-0,18
56,shipyard,2,63968995-6,19
125,dock,1,87371798-k,20
160,dock,1,96735305-1,21
184,shipyard,1,52158784-9,22
77,dock,3,79974368-k,23
10,shipyard,1,11118739-8,24
116,shipyard,3,95199785-4,25
134,shipyard,3,49628420-8,26
210,dock,3,22249624-1,27
185,dock,2,79725852-0,28
27,dock,3,84327091-3,29
213,shipyard,1,13370165-6,30
140,shipyard,1,88732812-9,31
164,shipyard,2,75397524-1,32
60,shipyard,3,54121962-5,33
115,dock,1,89477804-0,34
129,dock,1,40161573-3,35
203,shipyard,1,75129314-3,36
171,dock,3,94559048-3,37
65,dock,1,14585428-8,38
101,shipyard,1,35414863-3,39
48,shipyard,1,37285914-8,40
133,shipyard,3,48996426-0,41
10,shipyard,1,11118739-8,42
28,dock,1,94362008-3,43
31,shipyard,3,90471139-k,44
148,dock,3,97163657-2,45
25,shipyard,1,50814284-6,46
102,dock,1,88107942-9,47
47,shipyard,3,90730270-9,48
21,dock,3,35340502-0,49
207,dock,1,34039148-9,50
201,shipyard,1,52258791-5,51
200,dock,1,78413522-5,52
135,shipyard,1,48269008-4,53
100,shipyard,2,34996262-4,54
1,dock,1,92060023-9,55
105,shipyard,2,67753422-2,56
59,dock,3,75910499-4,57
146,shipyard,2,75020925-4,58
84,dock,2,35155157-7,59
78,dock,1,45026733-3,60
72,shipyard,3,72018152-5,61
173,dock,2,69822376-6,62
193,dock,1,93591226-1,63
79,shipyard,2,92244003-4,64
185,dock,2,79725852-0,65
139,shipyard,1,40597717-6,66
34,shipyard,1,14200344-9,67
3,dock,2,27626683-7,68
74,shipyard,1,47121914-2,69
36,shipyard,1,58963604-k,70
174,shipyard,3,11904025-6,71
147,dock,2,37376941-k,72
11,dock,2,70366259-5,73
212,dock,2,56405384-8,74
0,dock,3,35115737-2,75
41,shipyard,2,23686910-5,76
137,shipyard,2,37780063-k,77
148,dock,3,97163657-2,78
198,dock,1,71316667-7,79
108,shipyard,1,25919808-9,80
209,shipyard,1,80558312-6,81
100,shipyard,2,34996262-4,82
182,shipyard,3,58812264-6,83
7,shipyard,2,59749734-2,84
191,shipyard,2,32359787-1,85
41,shipyard,2,23686910-5,86
160,dock,1,96735305-1,87
109,shipyard,2,12205074-2,88
14,dock,2,45624249-9,89
133,shipyard,3,48996426-0,90
109,shipyard,2,12205074-2,91
165,dock,1,67902197-4,92
24,dock,3,59129614-0,93
101,shipyard,1,35414863-3,94
143,shipyard,3,37630974-6,95
108,shipyard,1,25919808-9,96
147,dock,2,37376941-k,97
176,shipyard,3,77484278-0,98
41,shipyard,2,23686910-5,99
74,shipyard,1,47121914-2,100
200,dock,1,78413522-5,101
154,dock,1,49641463-2,102
89,dock,1,56744324-8,103
10,shipyard,1,11118739-8,104
202,shipyard,2,91346186-k,105
0,dock,3,35115737-2,106
141,dock,2,58648727-2,107
96,dock,3,81203114-7,108
208,dock,2,68147125-1,109
87,shipyard,1,80640357-1,110
79,shipyard,2,92244003-4,111
180,shipyard,3,92946711-6,112
96,dock,3,81203114-7,113
59,dock,3,75910499-4,114
118,dock,2,54546935-9,115
34,shipyard,1,14200344-9,116
96,dock,3,81203114-7,117
196,dock,1,93176945-6,118
194,dock,1,54593722-0,119
36,shipyard,1,58963604-k,120
155,dock,3,64501886-9,121
130,dock,3,26135720-8,122
95,dock,3,33461512-k,123
18,shipyard,1,12920124-k,124
23,dock,3,38578737-5,125
67,shipyard,3,58038177-4,126
21,dock,3,35340502-0,127
173,dock,2,69822376-6,128
91,shipyard,2,13863556-2,129
16,dock,2,87624695-3,130
157,shipyard,2,78301240-5,131
4,shipyard,1,20789297-1,132
170,dock,1,58378678-3,133
196,dock,1,93176945-6,134
11,dock,2,70366259-5,135
203,shipyard,1,75129314-3,136
