name,rut,age,sex,fid
Catalina Luna,46251263-5,90,female,14
Sergio Galaz,92310665-0,47,male,29
Catalina Patiño,77837095-6,55,female,130
Nicolas Henriquez,66922079-0,70,female,63
Magdalena Santibañez,79464991-k,74,male,194
Lisandro Pinto,22997103-4,42,female,32
Leonardo Bucarei,61890115-7,42,male,127
Sofia Peña,45347413-5,29,male,189
Valentina Gutierrez,54864080-6,75,male,189
Simoney Mora,86447590-6,26,male,198
Martin Bustos,45355149-0,54,male,196
Diego Caniullan,19942007-0,89,male,192
Yanara Carrasco,79263691-8,39,female,52
Karla Castillo,32165632-3,38,female,170
Yaimara Cisternas,66760004-9,83,male,73
Pamela Figueroa,49326776-0,91,female,10
Aritza Flores,97804380-1,67,female,171
Giordano Flores,83399209-0,20,male,143
Danae Gamboa,86260284-6,95,female,169
Diego Guajardo,19209075-k,74,female,155
Bayron Guzman,31653150-4,84,female,27
Gabriela Jimenez,64100872-9,26,male,55
Orlando Moraga,72629258-2,56,male,57
Matias Moreno,17263415-k,13,female,95
Matias Painequeo,18208603-7,85,female,191
Sayenn Pavez,90414316-2,26,female,146
Gonzalo Pino,16045471-7,88,female,12
Benjamin Quilacon,28792266-3,37,male,137
Millaray Ramos,68353685-7,56,male,212
Aaron Roa,99428020-1,83,female,187
Martin Rojas,24840265-2,66,male,180
Yael Salcedo,79850677-3,81,male,75
Caceres San,95741388-9,57,female,26
Lucas Santibañez,77210598-3,63,male,40
Luis Torres,96187015-1,57,female,155
Zithlali Ulloa,68120110-6,28,male,5
Javiera Vasquez,56619171-7,66,male,129
Jorge Zumelzu,51616764-5,15,female,194
Alan Aceiton,60916764-5,97,male,102
Paz Aguayo,81252987-0,41,female,76
Flores Al,59192155-k,67,male,125
Lucas Araya,41391265-2,81,male,57
Daniela Arriagada,76041278-3,75,female,182
Benjamin Barria,78158392-8,43,female,49
Franco Benavides,49995619-3,97,female,83
Genesis Cardenas,37156185-4,59,female,205
Sergio Cardenas,85410626-0,24,male,53
Antonio Carrasco,10116173-0,72,male,123
Ian Carrera,88757035-3,30,female,182
Barbara Carvajal,68583239-9,42,male,137
Ignacio Castillo,35492826-4,59,male,126
Alondra Chamorro,86683089-4,91,female,201
Francisca Colima,28320055-8,67,male,128
Constanza Conejeros,86043030-4,87,female,82
Ivanna Contreras,27604578-4,44,female,121
Martin Flores,35412165-4,78,female,97
Constanza Gomez,80869010-1,40,male,94
Franco Gomez,86555166-5,34,female,185
Javiera Grandon,61036645-7,10,male,147
Javier Hurtado,40373818-2,84,female,37
Lucas Jara,24149278-8,84,female,178
Benjamin Jeria,43161018-3,95,female,155
