fid,capacity,boss_rut,pid
103,3,73026642-1,0
173,2,69822376-6,1
18,1,12920124-k,2
34,1,14200344-9,3
91,2,13863556-2,4
174,3,11904025-6,5
88,3,54480341-7,6
46,2,77191435-7,7
153,1,23047484-2,8
192,1,50728559-7,9
191,2,32359787-1,5
28,1,94362008-3,0
82,1,98357275-8,10
13,2,10339840-1,11
144,1,52189199-8,12
183,1,26849996-2,6
105,2,67753422-2,13
207,1,34039148-9,14
21,3,35340502-0,4
56,2,63968995-6,15
125,1,87371798-k,16
160,1,96735305-1,17
184,1,52158784-9,13
77,3,79974368-k,18
10,1,11118739-8,19
116,3,95199785-4,20
134,3,49628420-8,9
210,3,22249624-1,10
185,2,79725852-0,13
27,3,84327091-3,9
213,1,13370165-6,21
140,1,88732812-9,22
164,2,75397524-1,0
60,3,54121962-5,0
115,1,89477804-0,23
129,1,40161573-3,16
203,1,75129314-3,17
171,3,94559048-3,5
65,1,14585428-8,10
101,1,35414863-3,4
48,1,37285914-8,11
133,3,48996426-0,10
31,3,90471139-k,0
148,3,97163657-2,24
25,1,50814284-6,22
102,1,88107942-9,3
47,3,90730270-9,0
201,1,52258791-5,7
200,1,78413522-5,25
135,1,48269008-4,24
100,2,34996262-4,7
1,1,92060023-9,22
59,3,75910499-4,17
146,2,75020925-4,26
84,2,35155157-7,27
78,1,45026733-3,13
72,3,72018152-5,26
193,1,93591226-1,28
79,2,92244003-4,22
139,1,40597717-6,9
3,2,27626683-7,0
74,1,47121914-2,9
36,1,58963604-k,29
147,2,37376941-k,30
11,2,70366259-5,31
212,2,56405384-8,9
0,3,35115737-2,32
41,2,23686910-5,22
137,2,37780063-k,33
198,1,71316667-7,21
108,1,25919808-9,3
209,1,80558312-6,31
182,3,58812264-6,21
7,2,59749734-2,15
109,2,12205074-2,4
14,2,45624249-9,34
165,1,67902197-4,11
24,3,59129614-0,17
143,3,37630974-6,1
176,3,77484278-0,27
154,1,49641463-2,25
89,1,56744324-8,18
202,2,91346186-k,19
141,2,58648727-2,0
96,3,81203114-7,26
208,2,68147125-1,30
87,1,80640357-1,16
180,3,92946711-6,2
118,2,54546935-9,8
196,1,93176945-6,35
194,1,54593722-0,19
155,3,64501886-9,17
130,3,26135720-8,3
95,3,33461512-k,36
23,3,38578737-5,9
67,3,58038177-4,8
16,2,87624695-3,11
157,2,78301240-5,31
4,1,20789297-1,37
170,1,58378678-3,38
110,1,29637564-0,15
15,1,31359212-k,26
40,3,23494123-2,37
55,3,31194216-6,9
179,3,15795964-6,15
32,2,25450277-4,27
52,1,61993529-2,0
117,2,89751595-4,38
211,1,52792841-9,34
86,3,95423202-6,33
8,1,38629675-8,11
37,3,25696685-9,39
94,2,60727093-7,14
168,2,57181678-4,37
119,1,59105378-7,19
204,1,10927357-0,3
136,1,91957637-5,9
19,2,50942616-3,19
81,3,69767927-8,6
45,3,52698782-9,26
114,1,82533150-6,15
71,1,23711490-6,37
177,1,44973013-5,4
42,3,21016824-9,19
138,2,44604413-3,15
39,1,43329730-k,13
58,3,67314332-6,32
75,1,34823992-9,0
167,1,81881771-1,8
145,2,40644356-6,40
113,2,46805723-9,38
131,1,30991735-9,13
54,2,79348268-k,1
123,2,97632307-6,0
127,1,15955355-8,5
63,3,26249833-6,31
175,1,24927693-6,4
30,2,45856781-6,2
50,2,46531952-6,31
156,2,42494071-2,35
112,2,38100857-6,3
29,3,54122700-8,13
159,3,17341224-k,5
214,3,66714421-3,26
188,1,60747994-1,14
98,3,99837067-1,41
187,1,70433997-6,31
97,1,60926655-4,15
93,2,44372095-2,1
163,3,71389826-0,33
51,2,44626695-0,17
99,3,92390198-1,42
80,1,50319391-4,11
85,2,65485230-8,23
6,2,53281073-6,15
161,3,83029887-8,41
197,1,13947632-8,37
9,1,64367868-3,21
90,3,32153494-5,32
107,3,12957899-8,23
189,3,32086803-3,14
57,3,76762441-7,38
44,1,18984900-1,13
61,2,42714709-6,22
20,2,96828461-4,5
17,1,73454838-3,42
215,2,60456055-1,5
38,2,37797879-k,2
12,1,82254885-7,13
162,2,70551235-3,22
206,2,45273848-1,22
181,3,11123767-0,33
111,1,41325900-2,30
53,2,91258242-6,22
76,3,10537138-1,34
186,3,35806868-5,17
2,3,89265324-0,33
26,3,15333675-k,4
66,3,34975310-3,32
149,1,29004298-4,21
68,3,48592540-6,16
124,3,80228379-2,42
83,1,41966463-4,10
166,2,84593882-2,13
92,3,49552236-9,19
172,3,28673876-1,14
142,2,12177977-3,32
64,1,48007583-8,10
5,1,19410523-1,10
104,3,22150901-3,38
190,3,95711978-6,8
120,1,66976509-6,26
33,3,88408240-4,1
70,2,12969098-4,38
128,3,53383454-k,29
169,2,14495790-3,40
69,2,16943787-4,37
205,2,42868972-0,0
151,2,76362168-5,1
62,1,36600416-5,13
43,2,99302343-4,38
22,2,83330704-5,27
132,2,54363208-2,5
35,3,41775238-2,22
150,2,53087333-1,5
73,1,88667817-7,26
126,2,41659296-9,12
195,3,17611254-9,12
106,2,98661210-6,24
178,2,24655915-5,16
152,2,69691126-6,40
199,1,90494178-6,27
158,1,96213582-k,32
49,2,14408869-7,31
121,2,70368495-5,3
122,3,18902520-3,23
